0,Write essay,1517634000000,1514782800000,1,
1,Do groceries,1516251600000,1514782800000,0,
2,Calculus Exam,1517374800000,1514782800000,3,
3,History Exam,1517202000000,1514782800000,3,
4,Do taxes,1516251600000,1514782800000,1,
5,Compile this program,1516338000000,1514782800000,3,
6,Update OS,1516251600000,1514782800000,0,
7,Cut watermelon,1516251600000,1514782800000,0,
8,Buy gift,1516251600000,1514782800000,2,
90,Sweep and mop kitchen,1516251600000,1514782800000,1,
10,Fix leak,1516251600000,1514782800000,2,
11,Do dishes,1516251600000,1514782800000,0,
